YOU  Y UW
I  AY
THE  DH AH
THE(1)  DH AH
THE(2)  DH IY
TO  T UW
TO(1)  T IH
TO(2)  T AH
A  AH
A(1)  EY
IT  IH T
IT(1)  IH T
AND  AH N D
AND(1)  AE N D
THAT  DH AE T
THAT(1)  DH AH T
OF  AH V
OF(1)  AH V
IS  IH Z
IS(1)  IH Z
IN  IH N
IN(1)  IH N
WHAT  W AH T
WHAT(1)  HH W AH T
WE  W IY
ME  M IY
THIS  DH IH S
THIS(1)  DH IH S
HE  HH IY
FOR  F AO R
FOR(1)  F ER
FOR(2)  F R ER
MY  M AY
ON  AA N
ON(1)  AO N
HAVE  HH AE V
YOUR  Y AO R
YOUR(1)  Y UH R
DO  D UW
NO  N OW
WAS  W AA Z
WAS(1)  W AA Z
NOT  N AA T
ARE  AA R
ARE(1)  ER
DON  D AA N
BE  B IY
BE(1)  B IY
KNOW  N OW
CAN  K AE N
CAN(1)  K AH N
WITH  W IH DH
WITH(1)  W IH TH
WITH(2)  W IH TH
WITH(3)  W IH DH
BUT  B AH T
ALL  AO L
SO  S OW
JUST  JH AH S T
JUST(1)  JH IH S T
HERE  HH IY R
THERE  DH EH R
THEY  DH EY
LIKE  L AY K
GET  G EH T
GET(1)  G IH T
SHE  SH IY
GO  G OW
IF  IH F
IF(1)  IH F
RIGHT  R AY T
OUT  AW T
ABOUT  AH B AW T
UP  AH P
HIM  HH IH M
HIM(1)  IH M
AT  AE T
NOW  N AW
ONE  W AH N
ONE(1)  HH W AH N
COME  K AH M
OH  OW
HER  HH ER
HOW  HH AW
WELL  W EH L
WILL  W IH L
WILL(1)  W AH L
WANT  W AA N T
WANT(1)  W AO N T
GOT  G AA T
YEAH  Y AE
THINK  TH IH NG K
SEE  S IY
AS  AE Z
AS(1)  EH Z
WHO  HH UW
GOOD  G UH D
GOOD(1)  G IH D
WHY  W AY
WHY(1)  HH W AY
DID  D IH D
DID(1)  D IH D
LET  L EH T
FROM  F R AH M
HIS  HH IH Z
HIS(1)  HH IH Z
YES  Y EH S
WHEN  W EH N
WHEN(1)  HH W EH N
WHEN(2)  W IH N
WHEN(3)  HH W IH N
GOING  G OW IH NG
GOING(1)  G OW IH N
L  EH L
AN  AE N
AN(1)  AH N
TIME  T AY M
BACK  B AE K
OKAY  OW K EY
LOOK  L UH K
US  AH S
US(1)  Y UW EH S
WHERE  W EH R
WHERE(1)  HH W EH R
THEM  DH EH M
THEM(1)  DH AH M
TAKE  T EY K
WOULD  W UH D
WERE  W ER
THEN  DH EH N
OR  AO R
OR(1)  ER
HAD  HH AE D
BEEN  B IH N
BEEN(1)  B AH N
BEEN(2)  B IH N
TELL  T EH L
OUR  AW ER
OUR(1)  AW R
OUR(2)  AA R
MAN  M AE N
SOME  S AH M
SAY  S EY
REALLY  R IH L IY
REALLY(1)  R IY L IY
GONNA  G AA N AH
HEY  HH EY
COULD  K UH D
BY  B AY
